created_at,id,full_text,entities,is_quote_status,retweet_count,favorite_count,possibly_sensitive,keyword,location,hashtags_count,city,province,country,sentiment
Mon Dec 21 17:31:03 +0000 2020,1.34107371161772e+18,"Today we add an important chapter to a European success story, by making available the 1st #COVID19 vaccine for Europeans.

More will come. 

It will be available to all EU countries at the same time, on the same conditions #EUvaccinationdays","['COVID19', 'EUvaccinationdays']",FALSE,1557.0,5840.0,FALSE,Covid19 vaccine,,2.0,,,,pos
Tue Dec 22 20:20:16 +0000 2020,1.34147868566532e+18,Sedgwick County has received its first allocation of the #COVID19 vaccine! We are following the  and  guidelines for dispensing. Health Department staff that take samples and EMS personnel are among some the first individuals to receive the vaccine.,['COVID19'],FALSE,9.0,50.0,FALSE,Covid19 vaccine,"Sedgwick County, Kansas",1.0,Sedgwick County,KS,United States,neu
Wed Dec 23 00:32:16 +0000 2020,1.34154210337814e+18,"Now is not the time to let up. Vaccines are here, but it will take months to achieve anything near ‘herd immunity.’ With the upcoming holidays right around the corner, consider staying home and social distancing to reduce the infection rate of #COVID19.",['COVID19'],FALSE,0.0,0.0,FALSE,Covid19 vaccine,Southern California,1.0,,SC,United States,neu
Tue Dec 22 16:34:35 +0000 2020,1.34142188952534e+18,"I received my #COVID19 vaccination today. It was great to see many frontline medical workers getting their shot as well. As the vaccine becomes available, I encourage all Marines and their families to get the shot to slow the spread of the virus.",['COVID19'],FALSE,139.0,1008.0,FALSE,Covid19 vaccine,,1.0,,,,pos
Sat Dec 19 18:58:07 +0000 2020,1.3403708481973e+18,. Gen. Gus Perna on the distribution of the Moderna #COVID19 vaccine. Find out more:,['COVID19'],FALSE,325.0,1784.0,FALSE,Covid19 vaccine,"The Pentagon, Washington, D.C.",1.0,,DC,United States,neu
Tue Dec 22 23:50:00 +0000 2020,1.34153146447999e+18,"We have to trust the science and our health care professionals. I’m confident in the #COVID19 vaccine, and want everyone to know that it’s safe and effective.",['COVID19'],FALSE,55.0,550.0,FALSE,Covid19 vaccine,"Albuquerque, NM",1.0,Albuquerque,NM,United States,pos
Sat Dec 19 01:55:01 +0000 2020,1.34011337449609e+18,. authorizes emergency use of a second #COVID19 #vaccine. Operation Warp Speed has allocated more than 5.9 million doses of the Moderna vaccine for distribution across the country in the coming week. Read the full announcement here:,"['COVID19', 'vaccine']",FALSE,220.0,734.0,FALSE,Covid19 vaccine,"Washington, D.C.",2.0,Washington,DC,United States,neu
Tue Dec 22 22:16:49 +0000 2020,1.34150801398363e+18,"There are a lot of questions about the #COVIDー19 vaccine. If you understand the science, it might help you to make a decision about getting it or not.

Let  tell you exactly how it works...

#CovidVaccines #COVID19 #coronavirus #science","['COVIDー19', 'CovidVaccines', 'COVID19', 'coronavirus', 'science']",FALSE,13.0,26.0,FALSE,Covid19 vaccine,"Seattle, WA",5.0,Seattle,WA,United States,neu
Sat Dec 19 03:09:58 +0000 2020,1.34013223904506e+18,Today  granted Emergency Use Authorization to  for #COVID19 vaccine mRNA-1273. We are proud of the work by scientists at #NIH's  who co-developed this urgently needed vaccine.,"['COVID19', 'NIH']",FALSE,244.0,794.0,FALSE,Covid19 vaccine,"Bethesda, Maryland, USA",2.0,Bethesda,MD,United States,pos
Tue Dec 22 19:22:48 +0000 2020,1.34146422382668e+18,"Today I got vaccinated because I know rigorous scientific analysis has shown  #COVID19 vaccine to be safe and effective. So I rolled up my sleeve and said, bring it on! #NIH #COVID19 #SleeveUp","['COVID19', 'NIH', 'COVID19', 'SleeveUp']",FALSE,173.0,1466.0,FALSE,Covid19 vaccine,"Bethesda, Maryland, USA",4.0,Bethesda,MD,United States,pos
Tue Dec 22 23:02:13 +0000 2020,1.34151944063086e+18,"Here’s why  chose to #SleeveUp today and receive  #COVID19 vaccine, co-developed with #NIH. ⬇️","['SleeveUp', 'COVID19', 'NIH']",FALSE,24.0,72.0,FALSE,Covid19 vaccine,"Bethesda, Maryland, USA",3.0,Bethesda,MD,United States,neu
Tue Dec 22 23:01:54 +0000 2020,1.34151936070834e+18,"Today,  Director Dr. Anthony Fauci received  #COVID19 vaccine, co-developed w/ #NIH. Here’s why he chose to #SleeveUp. ⬇️ Photo courtesy of","['COVID19', 'NIH', 'SleeveUp']",FALSE,57.0,127.0,FALSE,Covid19 vaccine,"Bethesda, Maryland, USA",3.0,Bethesda,MD,United States,neu
Wed Dec 23 00:31:13 +0000 2020,1.34154183751807e+18,No great choices here. Risk getting covid or risk getting long term side effects from a vaccine. This is the first time in my life I’m nervous to get a vaccination..Scary times.. 😟 #vaccine #COVID19,"['vaccine', 'COVID19']",FALSE,0.0,0.0,,Covid19 vaccine,Toronto,2.0,Toronto,ON,Canada,neg
Wed Dec 23 00:31:11 +0000 2020,1.34154182788782e+18,"Didn’t expect it, but the news that my niece, a nurse practitioner, is getting her 1st vaccine dose tomorrow made me cry. #vaccination #COVID19 #HealthcareWorkers","['vaccination', 'COVID19', 'HealthcareWorkers']",FALSE,0.0,0.0,,Covid19 vaccine,"Alaska, USA",3.0,,AK,United States,neu
Tue Dec 22 22:08:21 +0000 2020,1.34150588328551e+18,WATCH: B.C. provincial health officer Dr. Bonnie Henry receives her first shot of the COVID-19 vaccine at a health clinic on Vancouver Island. #covid19 #coronavirus #covid19vaccine,"['covid19', 'coronavirus', 'covid19vaccine']",FALSE,40.0,220.0,FALSE,Covid19 vaccine,"Vancouver, British Columbia",3.0,Vancouver,BC,Canada,neu
Wed Dec 23 00:31:06 +0000 2020,1.34154181046063e+18,"Here's full chat with  wherein we cover the federal #COVID19 assistance pkg., the  tax incentive program, the missed deadline for seniors vaccine program and what role a state bank could play in the #cannabisindustry. Also,","['COVID19', 'cannabisindustry']",FALSE,0.0,0.0,FALSE,Covid19 vaccine,All Jersey. All the time.,2.0,,,,neu
Wed Dec 23 00:30:46 +0000 2020,1.34154172295904e+18,Today was a historical day at Akron Children’s as the first 10 caregivers were able to receive the Moderna #COVID19 vaccine.,['COVID19'],FALSE,0.0,3.0,FALSE,Covid19 vaccine,"Akron, OH",1.0,Akron,OH,United States,pos
Tue Dec 22 20:38:40 +0000 2020,1.34148331612656e+18,"COVID-19 

Vice President Mike Pence of the United States was Vaccinated. So also Joe Biden The US President elect. I look forward to see Muhammadu  And Yemi  receiving the COVID-19 Vaccine. 💉 

#COVID19 #COVID19Nigeria #COVID19vaccine","['COVID19', 'COVID19Nigeria', 'COVID19vaccine']",FALSE,1.0,1.0,,Covid19 vaccine,"North-East Region, Nigeria",3.0,,,Nigeria,pos
Tue Dec 22 21:57:13 +0000 2020,1.34150308256419e+18,Shandro on vaccine news (it's not terrible hooray!). ALSO NEWS: Massage therapy is now allowed for people with a prescription or a referral from another regulated health professional (like a chiro/physio). There will be PPE and barrier requirements. #ableg #cdnpoli #covid19,"['ableg', 'cdnpoli', 'covid19']",FALSE,4.0,10.0,,Covid19 vaccine,"Calgary, Alberta",3.0,Calgary,AB,Canada,neu
